words,acc,f1,0_f1,1_f1,2_f1,3_f1,4_f1
"try,error",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,trying",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,use",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"using,error",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"error,valueerror",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,x",0.88,0.881761221,0.833333333,0.814814815,0.769230769,1,0.916666667
"example,model",0.826666667,0.830958082,0.727272727,0.75862069,0.666666667,0.96,0.916666667
"expected,input",0.88,0.881761221,0.833333333,0.814814815,0.769230769,1,0.916666667
"expected,model",0.84,0.842128138,0.727272727,0.8,0.692307692,0.96,0.916666667
"last,file",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"file,line",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"file,model",0.84,0.842128138,0.727272727,0.8,0.692307692,0.96,0.916666667
"module,file",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"file,recent",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"return,file",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"traceback,file",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"first,model",0.84,0.842128138,0.727272727,0.8,0.692307692,0.96,0.916666667
"flatten,model",0.84,0.842128138,0.727272727,0.8,0.692307692,0.96,0.916666667
"get,following",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"following,import",0.84,0.844454247,0.782608696,0.75862069,0.692307692,0.96,0.916666667
"following,input",0.88,0.881761221,0.833333333,0.814814815,0.769230769,1,0.916666667
"keras,following",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"following,model",0.84,0.842128138,0.727272727,0.8,0.692307692,0.96,0.916666667
"following,output",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"following,print",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"return,following",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"following,tensorflow",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"following,trying",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"following,use",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
